Time, HInput, VInput, Distance
0, 0.4250759, 0.1, 108.57
0.02, 0.4250759, 0.1, 108.5695
0.02490345, 0.4250759, 0.1, 108.5695
0.03042738, 0.4250759, 0.1, 108.5695
0.04687466, 0.4250759, 0.1, 108.5688
0.0634752, 0.4250759, 0.1, 108.5679
0.08025114, 0.4250759, 0.1, 108.5667
0.09682317, 0.4250759, 0.1, 108.5667
0.1136362, 0.4250759, 0.1, 108.5653
0.1304505, 0.4250759, 0.1, 108.5636
0.1469735, 0.4250759, 0.1, 108.5617
0.1637954, 0.4250759, 0.1, 108.5596
0.1801507, 0.4250759, 0.1, 108.5573
0.1969162, 0.4250759, 0.1, 108.5573
0.2136244, 0.4250759, 0.1, 108.5548
0.2302238, 0.4250759, 0.1, 108.5521
0.2467871, 0.4250759, 0.1, 108.5491
0.2634191, 0.4250759, 0.1, 108.546
0.2800579, 0.4250759, 0.1, 108.5426
0.2967243, 0.4250759, 0.1, 108.5426
0.3135154, 0.4250759, 0.1, 108.5391
0.3303303, 0.4250759, 0.1, 108.5354
0.3469942, 0.4250759, 0.1, 108.5315
0.3636954, 0.4250759, 0.1, 108.5275
0.380494, 0.4250759, 0.1, 108.5233
0.3970697, 0.4250759, 0.1, 108.5233
0.4134123, 0.4250759, 0.1, 108.5189
0.43036, 0.4250759, 0.1, 108.5144
0.4469583, 0.4250759, 0.1, 108.5098
0.4636193, 0.4250759, 0.1, 108.505
0.4801507, 0.4250759, 0.1, 108.5002
0.4968385, 0.4250759, 0.1, 108.5002
0.5134797, 0.4250759, 0.1, 108.4952
0.5302276, 0.4250759, 0.1, 108.4902
0.5469442, 0.4250759, 0.1, 108.485
0.5635344, 0.4250759, 0.1, 108.4799
0.5802955, 0.4250759, 0.1, 108.4746
0.5967741, 0.4250759, 0.1, 108.4746
0.6145952, 0.4250759, 0.1, 108.4693
0.6313026, 0.4250759, 0.1, 108.464
0.6481046, 0.4250759, 0.1, 108.4587
0.6647396, 0.4250759, 0.1, 108.4533
0.6812826, 0.4250759, 0.1, 108.448
0.6980481, 0.4250759, 0.1, 108.448
0.7148513, 0.4250759, 0.1, 108.4427
0.7313876, 0.4250759, 0.1, 108.4375
0.7480225, 0.4250759, 0.1, 108.4323
0.7649446, 0.4250759, 0.1, 108.4272
0.7814918, 0.4250759, 0.1, 108.4222
0.7980511, 0.4250759, 0.1, 108.4222
0.8146123, 0.4250759, 0.1, 108.4173
0.8313948, 0.4250759, 0.1, 108.4125
0.848011, 0.4250759, 0.1, 108.4079
0.8647094, 0.4250759, 0.1, 108.4035
0.8813967, 0.4250759, 0.1, 108.3992
0.8982413, 0.4250759, 0.1, 108.3992
0.9147845, 0.4256235, 0.1, 108.4021
0.9315245, 0.4267247, 0.1, 108.4117
0.9481591, 0.4283983, 0.1, 108.4276
0.964766, 0.4306326, 0.1, 108.4481
0.9813131, 0.4324107, 0.1, 108.4675
0.9981249, 0.4324107, 0.1, 108.4675
1.015, 0.4341648, 0.1, 108.4874
1.031361, 0.436123, 0.1, 108.5078
1.048168, 0.4379673, 0.1, 108.5288
1.064991, 0.4399623, 0.1, 108.5501
1.081345, 0.442022, 0.1, 108.5718
1.098072, 0.442022, 0.1, 108.5718
1.114774, 0.4440092, 0.1, 108.5938
1.131587, 0.4460352, 0.1, 108.616
1.148116, 0.4480835, 0.1, 108.6389
1.164802, 0.4501925, 0.1, 108.6619
1.181533, 0.4523956, 0.1, 108.6853
1.197961, 0.4523956, 0.1, 108.6853
1.214523, 0.4546663, 0.1, 108.7091
